Region,Year,number
North West,2001,36049
North West,2011,69710
North West,2021,76843
Yorkshire & Humber,2001,23059
Yorkshire & Humber,2011,42922
Yorkshire & Humber,2021,39114
East Midlands,2001,16147
East Midlands,2011,30958
East Midlands,2021,37246
West Midlands,2001,22935
West Midlands,2011,43687
West Midlands,2021,45996
East,2001,32752
East,2011,51924
East,2021,52576
London,2001,120993
London,2011,198730
London,2021,149532
South West,2001,86766
South West,2011,123057
South West,2021,127449
Wales,2001,9358
Wales,2011,19194
Wales,2021,16334